sentence#,words,pos,ner
9,तत्कालै,RR,O
9,भु,NN,O
9,ले,IE,O
9,पनि,TT,O
9,होलान्,VVYX2,O
9,।,YF,O
10,यसै,DDX,O
10,सन्दर्भ,NN,O
10,मा,II,O
10,वहाँ,PXH,O
10,ले,IE,O
10,धरान,NP,B-LOC
10,मा,II,O
10,एशिया,NP,B-LOC
10,कै,IKX,O
10,ठूलो,JM,O
10,अस्पताल,NN,B-ORG
10,बन्ने,VN,O
10,संकेत,NN,O
10,गर्दै,VDX,O
10,धरान,NP,B-LOC
10,भाग्यमानी,JX,O
10,भए,VE,O
10,को,IKM,O
10,र,CC,O
10,वहाँ,PXH,O
10,आफै,PRF,O
10,यस,DDX,O
10,बारे,II,O
10,चिन्तित,JX,O
10,रहे,VE,O
10,को,IKM,O
10,बताउनु,VI,O
10,भए,VE,O
10,को,IKM,O
10,उल्लेख्य,JX,O
10,छ,VVYN1,O
10,।,YF,O
11,इराक,NP,B-LOC
11,को,IKM,O
11,साफवान,NN,B-LOC
11,मा,II,O
11,अहि,NN,O
11,ले,IE,O
11,पनि,TT,O
11,इरा,NN,O
11,की,IKF,O
11,शरणार्थी,NN,O
11,को,IKM,O
11,सुरक्षार्थ,NN,O
11,पाँच,MM,O
11,हजार,MM,O
11,अमेरि,NN,O
11,की,IKF,O
11,सैनिक,NN,O
11,रहे,VE,O
11,को,IKM,O
11,कुरा,NN,O
11,बताइए,NN,O
11,को,IKM,O
11,छ,VVYN1,O
11,।,YF,O
12,यी,DDX,O
12,दुवै,MM,O
12,अवस्थाहरू,NN,O
12,भन्दा,II,O
12,प्रधानमन्त्री,NN,O
12,दाहाल,NP,B-PER
12,को,IKM,O
12,भारत,NP,B-LOC
12,भ्रमण,NN,O
12,सामान्य,JX,O
12,भएका,NN,O
12,ले,IE,O
12,यस,DDX,O
12,ले,IE,O
12,राजनीतिक,JX,O
12,वातावरण,NN,O
12,नै,TT,O
12,तरङ्गित,NN,O
12,पार्ने,VN,O
12,अवस्था,NN,O
12,छैन,VVYN1,O
12,।,YF,O
13,अब,RD,O
13,नुवाकोट,NP,B-LOC
13,सदरमुकाम,NN,O
13,मा,II,O
13,साइन्स,NN,O
13,लर्निङ्,NN,O
13,सेन्टर,NN,O
13,खोलेर,VQ,O
13,खोज,NN,O
13,यात्रा,NN,O
13,निरन्तर,JX,O
13,अघि,RR,O
13,बढाउन,VI,O
13,चाहन्छन्,VVYX2,O
13,।,YF,O
14,पछिल्लो,JX,O
14,समय,NN,O
14,मा,II,O
14,प्रहरी,NN,O
14,",",YM,O
14,सशस्त्र,NN,B-ORG
14,प्रहरी,NN,O
14,",",YM,O
14,नेपाली,JX,B-ORG
14,सेना,NN,I-ORG
14,",",YM,O
14,गुप्तचर,NN,B-ORG
14,बाहेक,II,O
14,राज्य,NN,O
14,को,IKM,O
14,पाचौं,NN,O
14,अङ्ग,NN,O
14,का,IKO,O
14,रूपमा,NN,O
14,पनि,TT,O
14,जनसेना,NN,B-ORG
14,लाई,IA,O
14,समावेश,NN,O
14,गर्न,VI,O
14,सकिने,VN,O
14,अवधारणा,NN,O
14,ल्याइए,VE,O
14,को,IKM,O
14,छ,VVYN1,O
14,।,YF,O
15,प्रशान्त,NP,B-PER
15,ले,IE,O
15,छैटौं,MOX,O
15,चरण,NN,O
15,मा,II,O
15,देवर्शी,NN,B-PER
15,गोश्वामी,NN,I-PER
15,लाई,IA,O
15,चाल,NN,O
15,मा,II,O
15,हराए,VE,O
15,।,YF,O
16,प्रतियोगिता,NN,O
16,को,IKM,O
16,शुक्रबार,NN,O
16,अन्तिम,JX,O
16,दिन,NN,O
16,मा,II,O
16,आसाम,NP,O
16,का,IKO,O
16,किशोर,NP,B-PER
16,खेलाडी,NN,O
16,ले,IE,O
16,लज्जास्पद,NN,O
16,हार,NN,O
16,लाई,IA,O
16,जोगाउने,VN,O
16,प्रयास,NN,O
16,गर्नेछन्,VVYX2,O
16,।,YF,O
17,आइटिएफ,NN,O
17,लेक्सिन्टोन,NN,O
17,च्यालेन्जर्स,NN,O
17,टेनिस,NN,O
17,प्रतियोगिता,NN,O
17,मा,II,O
17,शीर्ष,NN,O
17,बरियताप्राप्त,NN,O
17,फ्रान्स,NP,B-LOC
17,की,IKF,O
17,जुलियाकोन,NN,B-PER
17,लाई,IA,O
17,र,CC,O
17,ले,IE,O
17,हराउँदै,NN,O
17,दोस्रो,MOM,O
17,बरियता,NN,O
17,की,IKF,O
17,सानिया,NN,B-PER
17,ले,IE,O
17,उपाधि,NN,O
17,सहित,II,O
17,हजार,MM,O
17,अमेरि,NN,O
17,की,IKF,O
17,डलर,NN,O
17,पनि,TT,O
17,हात,NN,O
17,पारिन्,NN,O
17,।,YF,O
18,फेरिमोर्चा,NN,B-LOC
18,सग,NN,O
18,भएको,NN,O
18,सम्झौता,NN,O
18,अन्तरमि,NN,O
18,संविधान,NN,O
18,मा,II,O
18,उल्लेख,NN,O
18,गर्ने,VN,O
18,मामिला,NN,O
18,मा,II,O
18,तीनै,MM,O
18,पार्टीक,NN,O
18,ठाउ,NN,O
18,मा,II,O
18,उभिए,VE,O
18,।,YF,O
19,मध्य,JX,B-LOC
19,पश्चिमांचल,NN,I-LOC
19,क्षेत्रिय,NN,B-ORG
19,आंखा,NN,I-ORG
19,उपचार,NN,I-ORG
19,केन्द्र,NN,I-ORG
19,",",YM,O
19,फत्तेवाल,NN,B-ORG
19,आंखा,NN,I-ORG
19,अस्पताल,NN,I-ORG
19,फुलटेक्रा,NN,I-ORG
19,नेपालगंज,NP,B-LOC
19,र,CC,O
19,नेपाल,NP,B-ORG
19,रेडक्रस,NN,I-ORG
19,सोसाइटी,NN,I-ORG
19,बर्दिया,NN,B-LOC
19,को,IKM,O
19,सं,FB,O
19,युक्त,JX,O
19,तत्वावधान,NN,O
19,मा,II,O
19,भूरी,NN,O
19,गाँउ,NN,O
19,मा,II,O
19,स्थानिय,NN,O
19,शिक्षक,NN,O
19,विद्यार्थी,NN,O
19,र,CC,O
19,समाजसेवी,NN,O
19,हरु,IH,O
19,को,IKM,O
19,सक्रिय,JX,O
19,सहभागिता,NN,O
19,मा,II,O
19,नोवेम्वर,NN,O
19,देखि,II,O
19,नोवेम्वर,NN,O
19,सम्म,II,O
19,नेत्र,NN,O
19,चिकित्सा,NN,O
19,शिवीर,NN,O
19,संचालन,NN,O
19,भयो,VVYN1,O
19,।,YF,O
20,बच्चा,NN,O
20,जन्माउन,VI,O
20,नसकेर,VQ,O
20,गाउँ,NN,O
20,का,IKO,O
20,आमा,NN,O
20,हरू,IH,O
20,रक्तश्राव,NN,O
20,ले,IE,O
20,मर्छन्,NN,O
20,दयनीय,JX,O
20,छ,VVYN1,O
20,उनी,DDX,O
20,हरूको,NN,O
20,जीवन,NN,O
20,भोला,NP,B-PER
20,रिजाल,NN,I-PER
20,का,IKO,O
20,यी,DDX,O
20,शब्द,NN,O
20,हरू,IH,O
20,नोट,NN,O
20,गर्दैगर्दा,NN,O
20,यो,DDX,O
20,रात,NN,O
20,मेरा,PMXKO,O
20,आँखा,NN,O
20,मा,II,O
20,धेरै,MM,O
20,आमा,NN,O
20,हरू,IH,O
20,एकएक,JO,O
20,आएगए,NN,O
20,जस,DJX,O
20,का,IKO,O
20,जीवन,NN,O
20,का,IKO,O
20,धेरै,MM,O
20,पाटा,NN,O
20,हरू,IH,O
20,घाइते,JX,O
20,हुँदै,VDX,O
20,मुटु,NN,O
20,सँग,II,O
20,आँखा,NN,O
20,सँग,II,O
20,र,CC,O
20,जीवन,NN,O
20,का,IKO,O
20,अभिलाषा,NN,O
20,हरूसँग,NN,O
20,सम्झौता,NN,O
20,गर्छन्,VVYX2,O
20,।,YF,O
21,तानसेन,NN,B-LOC
21,मा,II,O
21,वामपन्थी,NN,O
21,नेंता,NN,O
21,को,IKM,O
21,आचरण,NN,O
21,कस्तो,DKM,O
21,होला,VVYN1,O
21,भन्ने,VN,O
21,पनि,TT,O
21,धेरै,MM,O
21,लाई,IA,O
21,जिज्ञासा,NN,O
21,थियो,VVYN1,O
21,।,YF,O
22,विनियोजन,NN,O
22,बिधेयक,NN,O
22,माथि,II,O
22,बन,NN,B-ORG
22,कृषि,NN,I-ORG
22,भूमिव्यबस्था,NN,I-ORG
22,मन्त्रालय,NN,I-ORG
22,सम्बन्धी,II,O
22,छलफल,NN,O
22,को,IKM,O
22,प्रत्युत्तर,NN,O
22,दिन,NN,O
22,मन्त्री,NN,O
22,शैलजा,NP,B-PER
22,आचार्य,NP,I-PER
22,रोष्टम,NN,O
22,मा,II,O
22,उभिनु,VI,O
22,भए,VE,O
22,पछि,II,O
22,मन्त्री,NN,O
22,लाई,IA,O
22,बोल्न,VI,O
22,नदिने,VN,O
22,ब्युह,NN,O
22,रचना,NN,O
22,विपक्षी,NN,O
22,बाट,II,O
22,भए,VE,O
22,को,IKM,O
22,थियो,VVYN1,O
22,।,YF,O
23,बुद्ध,NP,B-PER
23,को,IKM,O
23,सन्देश,NN,O
23,ले,IE,O
23,नयाँ,JX,O
23,दिशा,NN,O
23,दिए,VE,O
23,को,IKM,O
23,छ,VVYN1,O
23,।,YF,O
24,त्यहाँ,RD,O
24,स्थित,NP,O
24,जमीर,NN,B-PER
24,राइन,NN,I-PER
24,ले,IE,O
24,सो,DDX,O
24,कुलो,NN,O
24,बाट,II,O
24,प्राप्त,JX,O
24,आय,NN,O
24,निजि,NN,O
24,रुप,NN,O
24,मा,II,O
24,खाने,VN,O
24,गरे,VE,O
24,को,IKM,O
24,कुरा,NN,O
24,चर्चा,NN,O
24,मा,II,O
24,आए,VE,O
24,पछि,II,O
24,उक्त,DDX,O
24,रकम,NN,O
24,पूरै,RR,O
24,गाउँ,NN,O
24,को,IKM,O
24,हुनुपर्छ,VVYN1,O
24,भनी,VQ,O
24,एउ,MM,O
24,टा,MLO,O
24,वैठक,NN,O
24,डाकियो,NN,O
24,।,YF,O
25,बोहरा,NP,B-PER
25,आफै,PRF,O
25,पनि,TT,O
25,न,CC,O
25,त,TT,O
25,समानुपातिक,NN,O
25,मा,II,O
25,परे,VE,O
25,न,CC,O
25,सरकार,NN,O
25,को,IKM,O
25,नेतृत्व,NN,O
25,गर्न,VI,O
25,नै,TT,O
25,पाए,VE,O
25,।,YF,O
26,यद्यपि,CSB,O
26,फोरम,NN,B-ORG
26,बाट,II,O
26,उपराष्ट्रपति,NN,O
26,को,IKM,O
26,उम्मेदवार,NN,O
26,बनाइए,VE,O
26,का,IKO,O
26,परमानन्द,NN,B-PER
26,झा,NP,I-PER
26,लाई,IA,O
26,भने,TT,O
26,तमलोपा,NN,B-ORG
26,र,CC,O
26,सद्भावना,NN,B-ORG
26,ले,IE,O
26,पनि,TT,O
26,साथ,NN,O
26,दिए,VE,O
26,।,YF,O
27,माघ,NN,O
27,विराटनगर,NP,B-LOC
27,।,YF,O
28,भण्डारी,NP,B-PER
28,भन्छन्-,NN,O
28,त्यस,DDX,O
28,माथि,II,O
28,आफैं,PRF,O
28,लाई,IA,O
28,आधार,NN,O
28,बनाएर,VQ,O
28,भाइबहिनी,NN,O
28,पनि,TT,O
28,काठमाडौं,NP,B-LOC
28,आए,VE,O
28,को,IKM,O
28,थिएँ,VVMX1,O
28,।,YF,O
29,कसै,DKX,O
29,लाई,IA,O
29,पनि,TT,O
29,गाली,NN,O
29,गलौज,NN,O
29,नगरौं,VN,O
29,सभ्य,NN,O
29,भाषा,NN,O
29,मा,II,O
29,आ-आफ्ना,PRFKO,O
29,धारणा,NN,O
29,राखौं,NN,O
29,बैठक,NN,O
29,मा,II,O
29,दाहाल,NP,B-PER
29,ले,IE,O
29,भने,TT,O
29,।,YF,O
30,क्रान्ति,NN,B-ORG
30,जनअधिकार,JX,I-ORG
30,पार्टी,NN,I-ORG
30,जनजीविका,NN,O
30,को,IKM,O
30,हित,NN,O
30,र,CC,O
30,रक्षा,NN,O
30,का,IKO,O
30,लागि,II,O
30,बाघझै,NN,O
30,गर्जने,NN,O
30,भण्डारी,NP,B-PER
30,जनता,NN,O
30,का,IKO,O
30,अगाडि,RR,O
30,हली,NN,O
30,ले,IE,O
30,थमाइदिए,NN,O
30,को,IKM,O
30,जुवा,NN,O
30,शिर,NN,O
30,निहुराएर,VQ,O
30,स्वीकार,NN,O
30,गर्ने,VN,O
30,सोझो,JX,O
30,गोरुझै,NN,O
30,इमानदार,NN,O
30,भएर,VQ,O
30,झुक्नर्ुपर्छ,NN,O
30,भनेर,VQ,O
30,अनुयायी,NN,O
30,हरूलाई,NN,O
30,प्रशिक्षित,JX,O
30,गर्न,VI,O
30,चुक्दैनथे,NN,O
30,।,YF,O
31,उक्त,DDX,O
31,छलफल,NN,O
31,मा,II,O
31,सहभागी,NN,O
31,एक,MM,O
31,नेता,NN,O
31,भन्छन्,VVYX2,O
31,त्यस,DDX,O
31,पछि,II,O
31,माओवादी,NN,B-ORG
31,ले,IE,O
31,एमाले,NN,B-ORG
31,माथि,II,O
31,शङ्का,NN,O
31,गर्न,VI,O
31,थाल्यो,VVYN1,O
31,माओवादी,NN,B-ORG
31,नेता,NN,O
31,हरू,IH,O
31,माधवजी,NN,B-PER
31,लाई,IA,O
31,हाम्रँे,NN,O
31,पङ्क्ति,NN,O
31,ले,IE,O
31,अलि,JX,O
31,माने,NN,O
31,को,IKM,O
31,छैन,VVYN1,O
31,भन्न,VI,O
31,था,TT,O
31,ले,IE,O
31,।,YF,O
32,विरोधी,NN,O
32,दल,NN,O
32,का,IKO,O
32,रुप,NN,O
32,मा,II,O
32,प्रतिनिधि,NN,O
32,सभा,NN,O
32,मा,II,O
32,बस्न,VI,O
32,जनाधार,NN,O
32,प्राप्त,JX,O
32,गरे,VE,O
32,को,IKM,O
32,ने.क.पा.,NN,B-ORG
32,एमाले,NN,I-ORG
32,ले,IE,O
32,पार्टी,NN,O
32,का,IKO,O
32,संसदीय,JX,O
32,दल,NN,O
32,का,IKO,O
32,नेता,NN,O
32,को,IKM,O
32,रुप,NN,O
32,मा,II,O
32,अध्यक्ष,NN,O
32,मनमोहन,NP,B-PER
32,अधिकारी,NN,I-PER
32,लाई,IA,O
32,चुन्यो,NN,O
32,।,YF,O
33,उन,DDX,O
33,ले,IE,O
33,मेथोडिस्ट,NN,B-ORG
33,चर्च,NN,I-ORG
33,का,IKO,O
33,उपाध्यक्ष,NN,O
33,का,IKO,O
33,रूपमा,NN,O
33,र,CC,O
33,मा,II,O
33,काम,NN,O
33,गरे,VE,O
33,का,IKO,O
33,थिए,VVYX2,O
33,।,YF,O
34,कार्यकाल,NN,O
34,नसकिँदै,NN,O
34,फिर्ता,NN,O
34,बोलाइए,NN,O
34,का,IKO,O
34,नेपाल,NP,B-LOC
34,का,IKO,O
34,लागि,II,O
34,चिनियाँ,JX,O
34,राजदूत,NN,O
34,याङ,NN,B-PER
34,होउलान,NN,I-PER
34,र,CC,O
34,प्रधानसेनापति,NN,O
34,गौरव,NN,B-PER
34,शम्शेर,NP,I-PER
34,जबरा,NP,I-PER
34,वीच,II,O
34,विदाई,NN,O
34,भेटवार्ता,NN,O
34,भएको,NN,O
34,छ,VVYN1,O
34,।,YF,O
35,सरकार,NN,O
35,पक्ष,NN,O
35,नै,TT,O
35,सडक,NN,O
35,मा,II,O
35,उत्रने,VN,O
35,र,CC,O
35,लडाइँ,NN,O
35,को,IKM,O
35,कुरा,NN,O
35,गर्न,VI,O
35,थाले,VE,O
35,पछि,II,O
35,सहमति,NN,O
35,को,IKM,O
35,सम्भावना,NN,O
35,सकिए,VE,O
35,को,IKM,O
35,खनाल,NP,B-PER
35,ले,IE,O
35,दाबी,NN,O
35,गरे,VE,O
35,।,YF,O
36,अहि,NN,O
36,ले,IE,O
36,नेपाल,NP,B-LOC
36,मा,II,O
36,सब,JX,O
36,भन्दा,II,O
36,बढी,JX,O
36,प्रतियोगिता,NN,O
36,बास्केटबल,NN,O
36,कै,IKX,O
36,हुन,VI,O
36,थाले,VE,O
36,को,IKM,O
36,छ,VVYN1,O
36,।,YF,O
37,ज्ञान,NN,B-PER
37,न्यौपाने,NP,I-PER
37,काठमाडौं,NP,B-LOC
37,माघ,NN,O
37,लुम्बिनी,NN,O
37,मा,II,O
37,बुद्ध,NP,B-PER
37,जन्मनु,NN,O
37,भन्दा,II,O
37,झन्डै,NN,O
37,सय,MM,O
37,वर्ष,NN,O
37,अघि,RR,O
37,नै,TT,O
37,मानव,NN,O
37,आवादी,NN,O
37,रहे,VE,O
37,को,IKM,O
37,ऐतिहासिक,JX,O
37,तथ्य,NN,O
37,फेला,NN,O
37,परे,VE,O
37,को,IKM,O
37,छ,VVYN1,O
37,।,YF,O
38,सुमित्रा,NN,B-PER
38,छोराछोरी,NN,O
38,सँगै,RD,O
38,बसेर,VQ,O
38,पढ्न,VI,O
38,थाले,VE,O
38,पछि,II,O
38,कक्षा,NN,O
38,को,IKM,O
38,वातावरण,NN,O
38,नै,TT,O
38,सपि्रए,NN,O
38,को,IKM,O
38,प्रधानाध्यापक,NN,O
38,रामबहादुर,NN,B-PER
38,केसी,NP,I-PER
38,ले,IE,O
38,बताए,VE,O
38,।,YF,O
39,यसपटक,RR,O
39,नेपाल,NP,B-LOC
39,मा,II,O
39,पनि,TT,O
39,पहाड,NN,B-LOC
39,र,CC,O
39,मधेस,NN,B-LOC
39,दुवै,MM,O
39,ठाउँ,NN,O
39,मा,II,O
39,गत,JX,O
39,वर्ष,NN,O
39,को,IKM,O
39,दाँजो,NN,O
39,मा,II,O
39,आधा,MM,O
39,मात्र,TT,O
39,रोपाइँ,NN,O
39,भयो,VVYN1,O
39,र,CC,O
39,त्यो,DDX,O
39,पनि,TT,O
39,डढ्न,NN,O
39,थाले,VE,O
39,को,IKM,O
39,छ,VVYN1,O
39,।,YF,O
40,नयाँ,JX,O
40,जग,NN,O
40,मा,II,O
40,पुरानै,NN,O
40,अभ्यास,NN,O
40,नेपाल,NP,B-PER
40,ले,IE,O
40,अहि,NN,O
40,ले,IE,O
40,माग,NN,O
40,गरे,VE,O
40,को,IKM,O
40,कार्यनीति,NN,O
40,के,DKX,O
40,हो,VVYN1,O
40,राजनीतिक,JX,O
40,दल,NN,O
40,हरूले,NN,O
40,आफ्नै,PRFKX,O
40,पार्टी,NN,O
40,ले,IE,O
40,कथित,JX,O
40,कार्यनीति,NN,O
40,फलाक्दाफलाक्दै,NN,O
40,राष्ट्र,NN,O
40,ले,IE,O
40,मागे,VE,O
40,को,IKM,O
40,कार्यनीत्रि्रति,NN,O
40,गद्दारी,NN,O
40,गरे,VE,O
40,का,IKO,O
40,छन्,VVYX2,O
40,।,YF,O
41,श्रीभद्र,NN,B-PER
41,शर्,NN,I-PER
41,मा,II,O
41,ले,IE,O
41,समाज,NN,O
41,को,IKM,O
41,हरेक,JX,O
41,वर्ग,NN,O
41,लाई,IA,O
41,नउठाए,VE,O
41,सम्म,II,O
41,परिवर्तन,NN,O
41,सफल,JX,O
41,हुन,VI,O
41,नसक्ने,VN,O
41,भए,VE,O
41,को,IKM,O
41,ले,IE,O
41,महात्,NN,B-PER
41,मा,II,O
41,गान्धी,NP,B-PER
41,ले,IE,O
41,समाज,NN,O
41,को,IKM,O
41,उपेक्षित,JX,O
41,वर्ग,NN,O
41,लाई,IA,O
41,उठाउनु,VI,O
41,भए,VE,O
41,को,IKM,O
41,हो,VVYN1,O
41,भन्दै,VDX,O
41,शासक,NN,O
41,शा,NN,O
41,सित,II,O
41,को,IKM,O
41,विभेद,NN,O
41,खतम,JX,O
41,गरी,VQ,O
41,गान्धी,NP,B-PER
41,को,IKM,O
41,सत्य,NN,O
41,अहिंसा,NN,O
41,र,CC,O
41,निर्भयता,NN,O
41,को,IKM,O
41,मार्ग,NN,O
41,द्वारा,II,O
41,देश,NN,O
41,र,CC,O
41,समाज,NN,O
41,लाई,IA,O
41,उठाउनुपरे,NN,O
41,को,IKM,O
41,छ,VVYN1,O
41,भन्नु,VI,O
41,भयो,VVYN1,O
41,।,YF,O
42,त्रिकोणात्मक,JX,O
42,दृष्टि,NN,O
42,मा,II,O
42,नेपाली,JX,O
42,संसद,NN,O
42,तर,CC,O
42,नेपाल,NP,B-LOC
42,का,IKO,O
42,संसद,NN,O
42,लाई,IA,O
42,यहाँ,RD,O
42,का,IKO,O
42,राजनैतिक,JX,O
42,पार्टी,NN,O
42,हरू,IH,O
42,ले,IE,O
42,त्यत्ति,DDX,O
42,उच्च,JX,O
42,विचार,NN,O
42,ले,IE,O
42,हेरे,VE,O
42,का,IKO,O
42,छैनन,VVYX2,O
42,।,YF,O
43,धन्यवाद,NN,O
43,साहित्य,NN,O
43,विशेष,JX,O
43,न्याय,NN,O
43,जगदीश,NP,B-PER
43,घिमिरे,NP,I-PER
43,लघुकथावनस्पति,NN,O
43,सग,NN,O
43,सोधे,VE,O
43,के,DKX,O
43,चाहन्छौ,NN,O
43,वनस्पति,NN,O
43,ले,IE,O
43,भने,TT,O
43,न्याय,NN,O
43,।,YF,O
44,राष्ट्रपति,NN,O
44,बुश,NP,B-PER
44,सँग,II,O
44,आधा,MM,O
44,घण्टा,NN,O
44,लामो,JM,O
44,वार्ता,NN,O
44,पछि,II,O
44,श्री,NN,O
44,आरिस्टिड,NN,B-PER
44,ले,IE,O
44,निरंकुशता,NN,O
44,को,IKM,O
44,पक्ष,NN,O
44,मा,II,O
44,अमेरिका,NP,B-LOC
44,नरहने,VN,O
44,विश्वास,NN,O
44,व्यक्त,NN,O
44,गर्दै,VDX,O
44,विद्रोही,JX,O
44,नेता,NN,O
44,जनरल,NN,O
44,राओल,NN,B-PER
44,सेड्रास,NN,I-PER
44,र,CC,O
44,कुनै,DKX,O
44,पनि,TT,O
44,हालत,NN,O
44,मा,II,O
44,प्रजातन्त्र,NN,O
44,को,IKM,O
44,हत्या,NN,O
44,गर्न,VI,O
44,चाहने,VN,O
44,सानो,JM,O
44,समूह,NN,O
44,को,IKM,O
44,कुनै,DKX,O
44,भविष्य,NN,O
44,नभए,VE,O
44,को,IKM,O
44,विचार,NN,O
44,व्यक्त,NN,O
44,गर्नुभए,VE,O
44,को,IKM,O
44,थियो,VVYN1,O
44,।,YF,O
45,सभापति,NN,O
45,कोइराला,NP,B-PER
45,ले,IE,O
45,माओवादी,NN,B-ORG
45,मा,II,O
45,अहि,NN,O
