sentence#,word,pos,ner
,जनजाति,NN,O
,हरू,HRU,O
,को,PKO,O
,वसोवास,NN,O
,भए,VBF,O
,को,PKO,O
,ग्रामीण,JJ,O
,परिवेश,NN,O
,मा,POP,O
,गर्ने,VNE,O
,निर्णय,NN,O
,बमोजिम,POP,O
,यो,DUM,O
,गोष्ठी,NN,O
,को,PKO,O
,सञ्चालन,NN,O
,काठमाडौं,NNP,B-LOC
,जिल्ला,NN,I-LOC
,को,PKO,O
,लप्सीफेदी,NN,B-LOC
,गाउँ,NN,I-LOC
,विकास,NN,I-LOC
,समिति,NN,I-LOC
,को,PKO,O
,जर्सिङ,NN,B-LOC
,पौवा,NN,I-LOC
,भञ्ज्याङ,NN,I-LOC
,मा,POP,O
,आयोजना,NN,O
,गरिए,VBF,O
,को,PKO,O
,थियो,VBF,O
,।,YF,O
sentence: 3,यो,DUM,O
,लब्सीफेदी,NN,B-LOC
,गा.,FB,O
,वि.,FB,O
,स.,FB,O
,मा,POP,O
,विभिन्न,JJ,O
,जात-जाति,NN,O
,तथा,CC,O
,जनजाति,NN,O
,को,PKO,O
,बसोबास,NN,O
,पाइन्छ,VBF,O
,।,YF,O
sentence: 4,त्यसमध्ये,RBM,O
,कुल,JJ,O
,जनसंख्या,NN,O
,को,PKO,O
,80,CD,B-MISC
,प्रतिशत,NN,I-MISC
,भाग,NN,O
,तामाङ,NN,O
,जनजाति,NN,O
,ले,PLE,O
,नै,RP,O
,ओगटे,VBF,O
,को,PKO,O
,छ,VBF,O
,।,YF,O
sentence: 5,तसर्थ,RBM,O
,नेपाल,NNP,B-ORG
,तामाङ,NNP,I-ORG
,घेदुङ,NN,I-ORG
,को,PKO,O
,काठमाडौ,NNP,B-LOC
,लब्सीफेदी,NNP,B-LOC
,गा.,FB,O
,वि.,FB,O
,स.,FB,O
,इकाई,NN,I-ORG
,समिति,NN,I-ORG
,को,PKO,O
,सक्रियता,NN,O
,मा,POP,O
,स्थानीय,JJ,O
,बासिन्दा,NN,O
,को,PKO,O
,प्रत्यक्ष,JJ,O
,व्यवस्थान,NN,O
,र,CC,O
,सहभागिता,NN,O
,मा,POP,O
,यो,DUM,O
,गोष्ठी,NN,O
,सञ्चालन,NN,O
,गरिए,VBF,O
,को,PKO,O
,थियो,VBF,O
,।,YF,O
sentence: 6,2,CD,B-MISC
,0,CD,I-MISC
,उद्देश्य,NN,O
,:,YM,O
,यो,DUM,O
,गोष्ठी,NN,O
,को,PKO,O
,मुख्य,JJ,O
,उद्देश्य,NN,O
,नेपाल,NNP,B-LOC
,का,PKO,O
,आदिवासी,NN,O
,/,YM,O
,जनजाति,NN,O
,हरू,HRU,O
,को,PKO,O
,समस्या,NN,O
,को,PKO,O
,पहिचान,NN,O
,र,CC,O
,समाधान,NN,O
,का,PKO,O
,उपाय,NN,O
,हरू,HRU,O
,पत्ता,NN,O
,लगाई,VBO,O
,सुझाव,NN,O
,हरू,HRU,O
,सिफारिस,NN,O
,गर्नु,VBI,O
,रहे,VBF,O
,को,PKO,O
,थियो,VBF,O
,।,YF,O
sentence: 7,त्यसकारण,RBM,O
,यो,DUM,O
,गोष्ठी,NN,O
,को,PKO,O
,कार्यगत,JJ,O
,उद्देश्य,NN,O
,हरू,HRU,O
,निम्न,JJ,O
,बमोजिम,POP,O
,राखिए,VBF,O
,का,PKO,O
,थिए,VBF,O
,:,YM,O
,2,CD,B-MISC
,1,CD,I-MISC
,नेपाल,NN,B-LOC
,का,PKO,O
,विभिन्न,JJ,O
,आदिवासीय,JJ,O
,समुदाय,NN,O
,को,PKO,O
,जातीय,JJ,O
,पहिचान,NN,O
,",",YM,O
,सामूहिक,JJ,O
,जीवन,NN,O
,का,PKO,O
,अनुभव,NN,O
,र,CC,O
,तिन,DUM,O
,का,PKO,O
,संगठनात्मक,JJ,O
,गतिविधि,NN,O
,हरू,HRU,O
,का,PKO,O
,विषय,NN,O
,मा,POP,O
,बिचार,NN,O
,आदानप्रदान,NN,O
,गर्ने,VNE,O
,",",YM,O
,2,CD,B-MISC
,2,CD,I-MISC
,आदिवासी,NN,O
,का,PKO,O
,वर्तमान,JJ,O
,समस्या,NN,O
,र,CC,O
,तिन,DUM,O
,का,PKO,O
,समाधान,NN,O
,मा,POP,O
,आदिवासी,NN,O
,समुदाय,NN,O
,को,PKO,O
,दृष्टिकोण,NN,O
,",",YM,O
,आकांक्षा,NN,O
,र,CC,O
,भविष्य,NN,O
,बारे,POP,O
,छलफल,NN,O
,गर्ने,VNE,O
,",",YM,O
,2,CD,B-MISC
,3,CD,I-MISC
,आदिवासी,NN,O
,हरू,HRU,O
,का,PKO,O
,विकास,NN,O
,का,PKO,O
,लागि,POP,O
,सुझाव,NN,O
,हरू,HRU,O
,र,CC,O
,आगामी,JJ,B-MISC
,वर्ष,NN,I-MISC
,हरू,HRU,O
,का,PKO,O
,लागि,POP,O
,कार्ययो,VBF,O
,जना,CL,O
,तयार,JJ,O
,पार्ने,VNE,O
,",",YM,O
,र,CC,O
,2,CD,B-MISC
,4,CD,I-MISC
,देशि,NN,O
,भित्र,POP,O
,का,PKO,O
,आदिवासी,NN,O
,/,YM,O
,जनजाति,NN,O
,हरू,HRU,O
,",",YM,O
,गैर-सरकारी,JJ,O
,संघसंस्था,NN,O
,",",YM,O
,सरकार,NN,O
,तथा,CC,O
,अन्तर्राष्ट्रिय,JJ,O
,समुदाय,NN,O
,लाई,PLAI,O
,समेत,RP,O
,समस्या,NN,O
,र,CC,O
,समाधान,NN,O
,का,PKO,O
,बारे,POP,O
,मा,POP,O
,सचेत,JJ,O
,पार्ने,VNE,O
,तथा,CC,O
,जानकारी,NN,O
,दिने,VNE,O
,उद्देश्य,NN,O
,ले,PLE,O
,परामर्श,NN,O
,गोष्ठी,NN,O
,को,PKO,O
,प्रतिवेदन,NN,O
,लाई,PLAI,O
,सार्वजनिक,JJ,O
,रूप,NN,O
,मा,POP,O
,ल्याउने,VNE,O
,",",YM,O
,आदि,RBM,O
,।,YF,O
sentence: 8,3,CD,B-MISC
,0,CD,I-MISC
,कार्य,NN,O
,तालिका,NN,O
,:,YM,O
,माथि,RBM,O
,उल्लेख,NN,O
,गरिए,VBF,O
,का,PKO,O
,उद्देश्य,NN,O
,हरू,HRU,O
,पूरा,JJ,O
,गर्ने,VNE,O
,दृष्टि,NN,O
,ले,PLE,O
,गोष्ठी,NN,O
,को,PKO,O
,कार्यतालि,NN,O
,का,PKO,O
,लाई,PLAI,O
,निम्न,JJ,O
,बमोजिम,POP,O
,चार,CD,B-MISC
,(,YB,O
,4,CD,B-MISC
,),YB,O
,चरण,NN,O
,मा,POP,O
,विभाजन,NN,O
,गरिए,VBF,O
,को,PKO,O
,थियो,VBF,O
,:,YM,O
,प्रथम,OD,B-MISC
,दिन,NN,I-MISC
,-,YM,O
,उद्घाटन,NN,O
,समारोह,NN,O
,र,CC,O
,अभिमुखीकरण,NN,O
,;,YM,O
,जातिगत,NN,O
,परिचय,NN,O
,प्रस्तुत,JJ,O
,।,YF,O
sentence: 9,दोस्रो,OD,B-MISC
,दिन,NN,I-MISC
,-,YM,O
,समस्या,NN,O
,प्रस्तुतीकरण,NN,O
,;,YM,O
,संघसंस्था,NN,O
,का,PKO,O
,प्रतिनिधि,NN,O
,हरू,HRU,O
,बाट,POP,O
,समस्या,NN,O
,प्रस्तुत,JJ,O
,र,CC,O
,स्रोत,NN,O
,व्यक्ति,NN,O
,हरू,HRU,O
,बाट,POP,O
,अन्तर्राष्ट्रिय,JJ,O
,अनुभव,NN,O
,र,CC,O
,खुराक,NN,O
,प्रदान,NN,O
,",",YM,O
,तेस्रो,OD,B-MISC
,दिन,NN,I-MISC
,-,YM,O
,समस्या,NN,O
,को,PKO,O
,सामान्यीकरण,NN,O
,",",YM,O
,कार्ययो,VBF,O
,जना,CL,O
,निर्माण,NN,O
,",",YM,O
,गोष्ठी,NN,O
,को,PKO,O
,सहमति,NN,O
,को,PKO,O
,आधार,NN,O
,मा,POP,O
,साझा,JJ,O
,निष्कर्ष,NN,O
,र,CC,O
,सिफारिस,NN,O
,हरू,HRU,O
,",",YM,O
,चौथो,OD,B-MISC
,दिन,NN,I-MISC
,-,YM,O
,गोष्ठी,NN,O
,को,PKO,O
,निष्कर्ष,NN,O
,बारे,POP,O
,स्थलगत,JJ,O
,जानकारी,NN,O
,",",YM,O
,पत्रकार,NN,O
,सम्मेलन,NN,O
,;,YM,O
,प्रतिवेदन,NN,O
,प्रकाशन,NN,O
,र,CC,O
,प्रचारप्रसार,NN,O
,4,CD,B-MISC
,0,CD,I-MISC
,कार्यविविरण,NN,O
,:,YM,O
,4,CD,B-MISC
,1,CD,I-MISC
,बुधबार,NN,B-MISC
,-,YM,O
,2050,CD,I-MISC
,चैत्र,NN,I-MISC
,10,CD,B-MISC
,गते,NN,I-MISC
,:,YM,O
,परामर्श,NN,O
,गोष्ठी,NN,O
,मा,POP,O
,पर्यवेक्षक,NN,O
,एवं,CC,O
,स्रोत,NN,O
,व्यक्ति,NN,O
,का,PKO,O
,रूप,NN,O
,मा,POP,O
,भाग,NN,O
,लिन,VBI,O
,एशिया,NNP,B-ORG
,इन्डिजिनस,NN,I-ORG
,पिपल्स,NN,I-ORG
,प्याक्ट,NN,I-ORG
,का,PKO,O
,महासचिव,NN,O
,लुइङ्गम,NN,B-PER
,लुइथुइ,NN,I-PER
,चैत्र,NN,I-MISC
,7,CD,B-MISC
,गते,NN,I-MISC
,",",YM,O
,चिटगङ्ग,NN,B-ORG
,हिल,NN,I-ORG
,ट्रैक्ट,NN,I-ORG
,पिपल्स,NN,I-ORG
,काउन्सील,NN,I-ORG
,",",YM,O
,बंगलादेश,NNP,B-LOC
,का,PKO,O
,अध्यक्ष,NN,O
,सुवोध,NN,B-PER
,चक्,NN,I-PER
,मा,POP,O
,चैत्र,NN,I-MISC
,8,CD,B-MISC
,गते,NN,I-MISC
,",",YM,O
,र,CC,O
,सीसीए,VBF,O
,-,YM,O
,यूआरएम,NN,O
,।,YF,O
sentence: 10,डागा,NN,B-LOC
,का,PKO,O
,नोयल,NN,B-PER
,भिलल्वा,NN,I-PER
,(,YB,O
,फिलिपिन्स,NNP,B-LOC
,),YB,O
,चैत्र,NN,I-MISC
,9,CD,B-MISC
,गते,NN,I-MISC
,काठमाडौ,NNP,B-LOC
,आइपुग्नु,VBI,O
,भयो,VBF,O
,।,YF,O
sentence: 11,उहाँ,PP,O
,हरू,HRU,O
,लाई,PLAI,O
,काठमाडौ,NNP,B-LOC
,त्रिभुवन,NNP,B-ORG
,अन्तर्राष्ट्रिय,JJ,I-ORG
,विमानस्थल,NN,I-ORG
,मा,POP,O
,सदस्य-सचिव,NN,O
,परशुराम,NNP,B-PER
,तामाङ,NNP,I-PER
,ले,PLE,O
,स्वागत,NN,O
,गर्नुभए,VBF,O
,को,PKO,O
,थियो,VBF,O
,।,YF,O
sentence: 12,चैत्र,NN,I-MISC
,10,CD,B-MISC
,गते,NN,I-MISC
,विहान,NN,O
,10,CD,B-MISC
,:,YM,O
,0,CD,I-MISC
,बजे,NN,I-MISC
,स्रोत,NN,O
,व्यक्ति,NN,O
,हरू,HRU,O
,लगायत,POP,O
,नेपाल,NNP,B-LOC
,का,PKO,O
,आदिवासी,NN,O
,संघसंस्था,NN,O
,का,PKO,O
,प्रतिनिधि,NN,O
,हरू,HRU,O
,जोरपाटी,NN,B-LOC
,",",YM,O
,काठमाडौ,NNP,B-LOC
,मा,POP,O
,भेला,NN,O
,हुनुभयो,VBF,O
,र,CC,O
,11,CD,B-MISC
,:,YM,O
,0,CD,I-MISC
,बजे,NN,I-MISC
,गोष्ठी,NN,O
,स्थल,NN,O
,तर्फ,POP,O
,प्रस्थान,NN,O
,गर्नुभयो,VBF,O
,।,YF,O
sentence: 13,अपरान्ह,NN,O
,1,CD,B-MISC
,:,YM,O
,0,CD,I-MISC
,बजे,NN,I-MISC
,सबै,JJ,O
,सहभागी,NN,O
,हरू,HRU,O
,गोष्ठी,NN,O
,स्थल,NN,O
,पुगे,VBF,O
,।,YF,O
sentence: 14,यो,DUM,O
,गोष्ठी,NN,O
,स्थल,NN,O
,जर्सिङ,NN,B-LOC
,पौवा,NN,I-LOC
,भञ्ज्याङ,NN,I-LOC
,काठमाडौं,NNP,B-LOC
,जिल्ला,NN,I-LOC
,को,PKO,O
,पूर्व,NN,O
,तिर,POP,O
,सिन्धुपाल्चोक,NNP,B-LOC
,जिल्ला,NN,I-LOC
,सँग,POP,O
,सीमाना,NN,O
,जोडिए,VBF,O
,को,PKO,O
,भाग,NN,O
,हो,VBF,O
,।,YF,O
sentence: 15,यो,DUM,O
,भञ्ज्याङ,NN,I-LOC
,अत्यन्त,RBM,O
,रमणीय,JJ,O
,छ,VBF,O
,।,YF,O
sentence: 16,यो,DUM,O
,करिब,RBM,O
,6,CD,B-MISC
,हजार,CD,I-MISC
,फीट,NN,I-MISC
,उचाई,NN,O
,मा,POP,O
,रहे,VBF,O
,को,PKO,O
,छ,VBF,O
,जहाँ,RBO,O
,बाट,POP,O
,उत्तर,NN,O
,का,PKO,O
,सम्पूर्ण,JJ,O
,हिमशिखर,NN,O
,का,PKO,O
,साथ,NN,O
,हिमालय,NN,O
,पर्वतमाला,NN,O
,र,CC,O
,दक्षिण,NN,O
,मा,POP,O
,महाभारत,NNP,O
,पर्वतमाला,NN,O
,र,CC,O
,काठमाडौ,NNP,B-LOC
,उपत्यका,NN,I-LOC
,को,PKO,O
,आंशिक,JJ,O
,भाग,NN,O
,देख्न,VBI,O
,सकिन्छ,VBF,O
,।,YF,O
sentence: 17,दिउसो,NN,O
,को,PKO,O
,भोजन,NN,O
,पछि,POP,O
,अपरान्ह,NN,O
,2,CD,B-MISC
,:,YM,O
,30,CD,E-MISC
,बजे,NN,I-MISC
,परामर्श-गोष्ठी,NN,O
,औपचारिक,JJ,O
,रूप,NN,O
,मा,POP,O
,शुरू,NN,O
,भयो,VBF,O
,।,YF,O
sentence: 18,तामाङ,NN,O
,जनजाति,NN,O
,को,PKO,O
,परम्पराअनुसार,NN,O
,लामागुरू,NN,O
,हरू,HRU,O
,बाट,POP,O
,मंगलाचरण,NN,O
,पाठ,NN,O
,को,PKO,O
,बीच,NN,O
,मा,POP,O
,विश्व,NN,O
,आदिवासी,NN,O
,अन्तर्राष्ट्रिय,JJ,O
,वर्ष,NN,B-MISC
,-,YM,O
,1993,CD,I-MISC
,",",YM,O
,राष्ट्रिय,JJ,O
,समिति,NN,O
,",",YM,O
,नेपाल,NNP,B-LOC
,का,PKO,O
,अध्यक्ष,NN,O
,श्री,NN,O
,रमानन्दप्रसाद,NN,B-PER
,सिंह,NNP,I-PER
,(,YB,O
,भू.,FB,O
,पू.,FB,O
,महान्याधिवक्ता,NN,O
,तथा,CC,O
,भू.,FB,O
,पू.,FB,O
,सदस्य,NN,O
,",",YM,O
,संविधान,NN,O
,सुझाव,NN,O
,आयोग,NN,O
,),YB,O
,ले,PLE,O
,म्हार,NN,O
,मी,NN,O
,(,YB,O
,नौनी,NN,O
,घिउ,NN,O
,को,PKO,O
,108,CD,B-MISC
,बत्ति,NN,O
,),YB,O
,बालेर,VBO,O
,उद्घाटन,NN,O
,गर्नुभयो,VBF,O
,।,YF,O
sentence: 19,उहाँ,PP,O
,ले,PLE,O
,"""",YQ,O
,आदिवासी,NN,O
,अन्तर्राष्ट्रिय,JJ,O
,वर्ष,NN,O
,समाप्त,JJ,O
,भयो,VBF,O
,तर,CC,O
,सरकार,NN,O
,ले,PLE,O
,कुनै,DUM,O
,चासो,NN,O
,देखाएन,VBF,O
,"""",YQ,O
,भन्दै,VBO,O
,"""",YQ,O
,आदिवासी,NN,O
,हरू,HRU,O
,को,PKO,O
,विकास,NN,O
,को,PKO,O
,सबभन्दा,RBM,O
,महत्वपूर्ण,JJ,O
,र,CC,O
,प्राथमिक,JJ,O
,कुरा,NN,O
,जनचेतना,NN,O
,हो,VBF,O
,त्यस,DUM,O
,का,PKO,O
,लागि,POP,O
,मातृभाषा,NN,O
,मा,POP,O
,शिक्षा,NN,O
,अनिवार्य,JJ,O
,शर्त,NN,O
,हो,VBF,O
,।,YF,O
sentence: 20,हामी,PP,O
,ले,PLE,O
,जनस्तर,NN,O
,बाट,POP,O
,मातृभाषा,NN,O
,मा,POP,O
,साक्षरता,NN,O
,अभियान,NN,O
,भएपनि,CS,O
,चलाउनु,VBI,O
,पर्ने,VNE,O
,र,CC,O
,त्यस,DUM,O
,का,PKO,O
,लागि,POP,O
,सरकार,NN,O
,लाई,PLAI,O
,बाध्य,JJ,O
,पार्नुपर्ने,VNE,O
,"""",YQ,O
,कुरा,NN,O
,बताउनुभयो,VBF,O
,।,YF,O
sentence: 21,परामर्श,NN,O
,गोष्ठी,NN,O
,को,PKO,O
,सफलता,NN,O
,को,PKO,O
,कामना,NN,O
,गर्दै,VBO,O
,प्रतिनिधि,NN,B-ORG
,सभा,NN,I-ORG
,का,PKO,O
,सांसद,NN,O
,मा.,FB,O
,पदमरत्न,NNP,B-PER
,तुलाधर,NNP,I-PER
,ले,PLE,O
,"""",YQ,O
,शताब्दीयौं,VBF,O
,देखि,POP,O
,को,PKO,O
,उत्पीडन,NN,O
,",",YM,O
,शोषण,NN,O
,र,CC,O
,दमन,NN,O
,मा,POP,O
,परे,VBF,O
,का,PKO,O
,आदिवासी,NN,O
,हरू,HRU,O
,आफ्नो,PPR,O
,हक,NN,O
,",",YM,O
,हित,NN,O
,को,PKO,O
,संरक्षण,NN,O
,र,CC,O
,प्रवर्धन,NN,O
,का,PKO,O
,लागि,POP,O
,आन्दोलित,JJ,O
,भइरहे,VBF,O
,का,PKO,O
,छन्,VBF,O
,र,CC,O
,त्यो,DUM,O
,आन्दोलन,NN,O
,मानवअधिकार,NN,O
,आन्दोलन,NN,O
,कै,PKO,O
,एक,CD,B-MISC
,महत्वपूर्ण,JJ,O
,अङ्ग,NN,O
,हो,VBF,O
,"""",YQ,O
,भन्नुभयो,VBF,O
,।,YF,O
sentence: 22,अर्को,DM,O
,शुभकामना,NN,O
,मन्तव्य,NN,O
,दिने,VNE,O
,वक्ता,NN,O
,राजनीतिज्ञ,NN,O
,काजिमान,NN,B-PER
,कन्दङवा,NNP,I-PER
,ले,PLE,O
,भन्नुभयो,VBF,O
,",",YM,O
,"""",YQ,O
,नेपाल,NNP,B-LOC
,अधिराज्य,NN,O
,को,PKO,O
,कुनै,DUM,O
,पनि,RP,O
,नीति,NN,O
,निर्माण,NN,O
,अंग,NN,O
,मा,POP,O
,आदिवासी,NN,O
,/,YM,O
,जनजाति,NN,O
,को,PKO,O
,सामूहिक,JJ,O
,नियन्त्रण,NN,O
,र,CC,O
,उचित,JJ,O
,प्रतिनिधित्व,NN,O
,रहे,VBF,O
,को,PKO,O
,छैन,VBF,O
,।,YF,O
sentence: 23,त्यसैले,RBM,O
,आदिवासी,NN,O
,/,YM,O
,जनजाति,NN,O
,आन्दोलन,NN,O
,को,PKO,O
,मूख्य,JJ,O
,उद्देश्य,NN,O
,आदिवासी,NN,O
,/,YM,O
,जनजाति,NN,O
,हरू,HRU,O
,लाई,PLAI,O
,राज्य,NN,O
,को,PKO,O
,नीति,NN,O
,निर्माण,NN,O
,प्रक्रिया,NN,O
,मा,POP,O
,हिस्सेदार,NN,O
,बनाउनु,VBI,O
,हो,VBF,O
,।,YF,O
sentence: 24,"""",YQ,O
,इन्डिजिनस,NN,B-ORG
,पिपल्स,NN,I-ORG
,प्याक्ट,NN,I-ORG
,का,PKO,O
,महासचिव,NN,O
,लुइथुइ,NN,B-PER
,लुइङ्गम,NN,I-PER
,ले,PLE,O
,भन्नुभयो,VBF,O
,",",YM,O
,"""",YQ,O
,विश्व,NN,O
,को,PKO,O
,30,CD,B-MISC
,करोड,CD,I-MISC
,आदिवासीहरूमध्ये,NN,O
,दुई-तिहाई,NN,O
